date,temperature,humidite,pression,résistance du gaz
2021-04-15T15:02:34,21.31,49.12,1031,0
2021-04-15T15:17:35,21.53,53.42,1031,1368
2021-04-15T15:32:35,21.72,48.97,1031,2256
2021-04-15T15:47:36,21.90,47.14,1031,3170
2021-04-15T16:02:36,22.05,47.28,1030,3903
2021-04-15T16:12:34,22.62,47.12,1030,0
2021-04-15T16:27:35,22.65,47.26,1030,3969
2021-04-15T16:42:36,22.69,46.06,1030,4960
2021-04-15T16:57:36,22.71,45.34,1030,5669
2021-04-15T17:12:37,22.70,44.90,1030,6248
2021-04-15T17:12:39,22.73,44.83,1030,0
2021-04-15T17:12:41,22.73,44.79,1030,0
2021-04-15T17:27:41,22.72,44.83,1030,6321
2021-04-15T17:42:42,22.64,44.82,1030,7258
2021-04-15T17:57:42,22.53,44.80,1030,7908
2021-04-15T17:57:44,22.27,44.76,1030,0
2021-04-15T18:12:45,22.27,44.56,1030,7813
2021-04-15T18:27:45,22.29,44.44,1030,8775
2021-04-15T18:42:46,22.38,43.26,1030,9380
2021-04-15T18:57:47,22.50,43.59,1030,9892
2021-04-15T19:12:47,22.55,44.18,1030,10746
2021-04-15T19:27:48,22.55,44.60,1030,11274
2021-04-15T19:42:48,22.54,44.40,1030,11677
2021-04-15T19:57:49,22.49,43.81,1030,12157
2021-04-15T20:08:48,22.20,44.15,1030,0
